Entity,Year,Inter_tourist
Americas,1950,7.5
Americas,1960,16.7
Americas,1965,23.2
Americas,1970,42.3
Americas,1975,50
Americas,1980,62.3
Americas,1981,62.5
Americas,1982,59.7
Americas,1983,59.9
Americas,1984,67.4
Americas,1985,65.1
Americas,1986,70.9
Americas,1987,76.6
Americas,1988,83
Americas,1989,86.9
Americas,1990,92.8
Americas,1991,95.3
Americas,1992,102.2
Americas,1993,102.2
Americas,1994,105.1
Americas,1995,109
Americas,1996,114.5
Americas,1997,116.2
Americas,1998,119.1
Americas,1999,121.9
Americas,2000,128.2
Americas,2001,122.1
Americas,2002,116.7
Americas,2003,113.1
Americas,2004,125.7
Americas,2005,133.5
Americas,2006,135.8
Americas,2007,142.5
Americas,2008,147.8
Americas,2009,141.7
Americas,2010,150.1
Americas,2014,181.9
Americas,2015,192.7
Americas,2016,200.9
Asia & Pacific,1950,0.2
Asia & Pacific,1960,0.9
Asia & Pacific,1965,2.1
Asia & Pacific,1970,6.2
Asia & Pacific,1975,10.2
Asia & Pacific,1980,23
Asia & Pacific,1981,24.9
Asia & Pacific,1982,26
Asia & Pacific,1983,26.6
Asia & Pacific,1984,29.5
Asia & Pacific,1985,32.9
Asia & Pacific,1986,36.8
Asia & Pacific,1987,42.1
Asia & Pacific,1988,48.7
Asia & Pacific,1989,49.4
Asia & Pacific,1990,56.2
Asia & Pacific,1991,58
Asia & Pacific,1992,65.8
Asia & Pacific,1993,72.3
Asia & Pacific,1994,80.1
Asia & Pacific,1995,82.4
Asia & Pacific,1996,90.4
Asia & Pacific,1997,89.7
Asia & Pacific,1998,89.4
Asia & Pacific,1999,98.7
Asia & Pacific,2000,110.6
Asia & Pacific,2001,115.7
Asia & Pacific,2002,124.9
Asia & Pacific,2003,113.3
Asia & Pacific,2004,144.2
Asia & Pacific,2005,155.4
Asia & Pacific,2006,166.8
Asia & Pacific,2007,184.2
Asia & Pacific,2008,184.1
Asia & Pacific,2009,181.1
Asia & Pacific,2010,205.5
Asia & Pacific,2014,264.4
Asia & Pacific,2015,279.3
Asia & Pacific,2016,302.9
